Data_Hora,IdTweet,Tweet,Candidato,tweet_limpo
2022-07-30 21:55:57+00:00,1553499663671721987,@bolsonaro_1986 @LulaOficial @elmanofreitaspt Bolsonaro não sabe nem que tu existe...,Lula,   bolsonaro não sabe nem que tu existe...
2022-07-30 21:55:55+00:00,1553499658848276484,"@gleisi @LulaOficial @CamiloSantanaCE @elmanofreitaspt Opaa..no centro de convenções. Não foi tudo isso que a tv do Jereissati mostrou heim!!

😂😂😂",Lula,    opaa..no centro de convenções. não foi tudo isso que a tv do jereissati mostrou heim!!😂😂😂
2022-07-30 21:55:53+00:00,1553499648941228039,@guimaraes13PT @LulaOficial https://t.co/chL1wVEnQP,Lula,  
2022-07-30 22:06:22+00:00,1553502287355584524,"Não entendo essa gente que coloca fora Bolsonaro, porra o cara é íntegro, luta contra um sistema de FDP e este povo não aprende . https://t.co/QBU9m6YcsG",Bolsonaro,"não entendo essa gente que coloca fora bolsonaro, porra o cara é íntegro, luta contra um sistema de fdp e este povo não aprende . "
2022-07-30 22:06:22+00:00,1553502285984141313,"@arivsilva1 @FatimaF46328259 @Delinho17333581 @GuedeFigueredo @GuerreiraJVGS @EdneiaScanto @Pedro19710407 @ma_65zaff @MonteiroDjair @taniaduarte48 @jurasotero @MeireFarias9 @BolsonaroSoul @RachelAndo7 @ManesAlexandre @LaFenix61 @SrBoneco1 Datapovo coloca @jairbolsonaro reeleito no primeiro turno 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻
🇧🇷🇧🇷🇧🇷2️⃣2️⃣🇧🇷🇧🇷🇧🇷",Bolsonaro,                 datapovo coloca  reeleito no primeiro turno 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻🇧🇷🇧🇷🇧🇷2️⃣2️⃣🇧🇷🇧🇷🇧🇷
2022-07-30 22:06:21+00:00,1553502283610165254,@brunnoalves @AnnaCroft19 @lia_liaa22 @jairbolsonaro 16 anos de pt é pouco né.,Bolsonaro,    16 anos de pt é pouco né.
2022-07-30 22:06:20+00:00,1553502278551830528,"""É Bolsonaro"" #CapitaoNoPrimeiroTurno https://t.co/7apBShPfMB",Bolsonaro,"""é bolsonaro""  "
2022-07-30 22:06:19+00:00,1553502273677959169,"Alguém pode informar para Miriam Leitoa da Rede Grobo que o  Bolsonaro, mais uma vez esta dando prejuízo ao Brasil. 🤣🤣🤣 https://t.co/fq0k6p8bZL",Bolsonaro,"alguém pode informar para miriam leitoa da rede grobo que o  bolsonaro, mais uma vez esta dando prejuízo ao brasil. 🤣🤣🤣 "
2022-07-30 22:06:18+00:00,1553502269110353921,@FlavioBolsonaro @jairbolsonaro ISTOÉ BOLSONARO,Bolsonaro,  istoé bolsonaro
2022-07-30 22:06:18+00:00,1553502268024045573,@jairbolsonaro o sor tá vermelho? Foi isso que eu vi? Kkkkkk https://t.co/iDLfxFoeBj,Bolsonaro, o sor tá vermelho? foi isso que eu vi? kkkkkk 
